Coronary Heart Disease,Current Asthma,Diabetes,Mental Health,Obesity,Sleep <7 hours,TractFIPS
6.7,8.7,14.9,14.0,32.9,39.4,12086010006
6.7,9.4,15.1,14.5,33.7,40.9,12086009400
6.5,9.9,15.1,14.5,34.7,42.9,12086009504
10.6,10.1,21.4,17.7,48.7,36.9,48061013203
6.8,9.8,15.5,14.4,34.8,42.4,12086009503
7.9,8.4,16.5,13.4,44.3,34.2,48061013102
7.1,9.0,15.8,15.1,44.3,35.6,48061013003
5.6,10.0,13.6,15.7,35.6,43.6,12086009501
7.1,8.4,15.2,12.6,41.2,33.2,48061013104
8.6,7.9,16.4,11.1,39.6,31.6,48061012900
5.3,9.3,13.7,16.0,45.0,36.5,48061012700
6.1,7.7,13.6,11.7,40.4,33.0,48061013002
6.0,8.5,13.4,13.5,31.4,38.7,12086010010
6.4,10.5,15.2,17.5,37.6,44.4,12086010011
6.6,9.6,16.1,16.9,47.2,37.5,48061012607
5.7,9.3,13.0,12.9,31.9,41.4,12086009905
5.7,9.1,13.4,11.9,31.9,40.8,12086009903
7.9,10.2,16.3,15.9,35.4,42.9,12086009600
8.2,8.3,15.4,12.1,41.4,33.2,48061012608
5.8,9.6,13.2,13.6,32.3,41.7,12086009906
7.7,8.2,16.0,13.6,32.3,37.9,12086010009
4.5,7.7,11.3,11.5,39.9,33.3,48061014500
4.5,9.2,11.3,13.2,31.3,41.2,12086010012
4.4,7.7,11.1,11.8,40.4,33.8,48061012504
4.4,6.8,11.0,8.8,35.5,30.7,48061012613
11.4,8.0,20.0,10.5,29.0,34.4,12086009808
3.5,6.9,8.9,10.8,27.0,37.8,12011110322
4.7,9.4,11.2,14.1,32.4,41.9,12086009901
5.0,10.2,12.3,16.1,34.8,43.8,12086009904
7.4,9.8,16.7,15.4,35.9,41.9,12086010001
5.8,8.5,12.6,11.3,30.3,39.2,12086009807
4.3,6.9,10.0,10.4,26.4,36.6,12011110321
3.5,6.5,8.6,9.7,24.9,36.6,12011110324
